preference_key,movie_title,star_cast,rating,year,place,vote,link
3,La canción del camino,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee",8.023343040127129,1955,231,,/title/tt0048473/
4,La batalla de Argel,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin",8.022166802531983,1966,232,,/title/tt0058946/
1,Siempre a tu lado,"Lasse Hallström (dir.), Richard Gere, Joan Allen",8.022136703239745,2009,233,,/title/tt1028532/
2,Las viñas de la ira,"John Ford (dir.), Henry Fonda, Jane Darwell",8.021995164437012,1940,234,,/title/tt0032551/
3,Jai Bhim,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose",8.02113039416861,2021,235,,/title/tt15097216/
4,Babam ve Oglum,"Çagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan",8.020362155661555,2005,236,,/title/tt0476735/
1,Amores perros,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",8.019516967837609,2000,237,,/title/tt0245712/
2,"Rebeca, una mujer inolvidable","Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",8.018485990002311,1940,238,,/title/tt0032976/
3,The Handmaiden,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo",8.017710746474227,2016,239,,/title/tt4016934/
4,La leyenda del indomable,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",8.017676794880161,1967,240,,/title/tt0061512/
1,La novicia rebelde,"Robert Wise (dir.), Julie Andrews, Christopher Plummer",8.013361712050216,1965,241,,/title/tt0059742/
2,Los 400 golpes,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",8.013053340998415,1959,242,,/title/tt0053198/
3,Sucedió una noche,"Frank Capra (dir.), Clark Gable, Claudette Colbert",8.012577697908268,1934,243,,/title/tt0025316/
4,Persona,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",8.010773576966253,1966,244,,/title/tt0060827/
1,La vida de Brian,"Terry Jones (dir.), Graham Chapman, John Cleese",8.00884419364409,1979,245,,/title/tt0079470/
2,El gigante de hierro,"Brad Bird (dir.), Eli Marienthal, Harry Connick Jr.",8.006208680151424,1999,246,,/title/tt0129167/
3,Historias cruzadas,"Tate Taylor (dir.), Viola Davis, Emma Stone",8.005746457946707,2011,247,,/title/tt1454029/
4,Aladdín,"Ron Clements (dir.), Scott Weinger, Robin Williams",8.00370177828413,1992,248,,/title/tt0103639/
1,Dersu Uzala,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin",8.003126005794247,1975,249,,/title/tt0071411/
2,Danza con lobos,"Kevin Costner (dir.), Kevin Costner, Mary McDonnell",8.001578816419858,1990,250,,/title/tt0099348/
